€400,000 	 Carrowbeg, Westport, Mayo
€185,000 	 Chapel Street,Kiltimagh,Co. Mayo,F12 D9P7
€320,000 	 11 Sion Hill,Castlebar,Co. Mayo,F23 NX47
€235,000 	 25 Carrabeag,Newport Road,Castlebar,Co. Mayo,F23 WY27
€199,500 	 Westview,1 Viewpoint,Pound Road,Castlebar,Co. Mayo
€35,000 	 Meelickmore,Claremorris,Co Mayo
€599,000 	 Formerly Rosmoney Spa, Rosmoney, Westport, Co. Mayo
€130,000 	 14 Rowan Drive,Castlebar,Co. Mayo,F23 F891
€250,000 	 2 Lime Court,James Street,Westport,Co Mayo,F28 FP82
€285,000 	 8 The Elms, Westport, Mayo
€335,000 	 Rosebrook, Drummindoo, Westport, Mayo
AMV €99,000 	 Dringeen, Cong, Mayo
€950,000 	 Ballycurrin Demesne, Ower, Claremorris, Mayo
€80,000 	 Curraghadooey, Scardaune, Claremorris, Mayo
Guide Price €40,000 	 James Street, Kiltimagh, Co. Mayo
€95,000 	 Falleighter, Kilkelly, Mayo
€135,000 	 19 Bowers View, Bridge Street, Ballinrobe, Mayo
€230,000 	 Brackloonagh South,Charlestown,Co. Mayo,F12VK85
€229,000 	 30 Quay Village,The Quay,Westport,Co. Mayo,F28 CD00
Guide Price €150,000 	 Carrowmore, Knock, Co. Mayo
Guide Price €95,000 	 4 The Railway Cottages, Station Road, Foxford, Co. Mayo
